Store,Bank,Card_name,Benefit_detail,Date,
Bar B Q Plaza,กรุงไทย (KTC),บัตรเครดิต KTC ดิจิทัล แพลทินัม,"โปรโมชั่นคะแนนแลกคุ้มที่ร้าน Bar B Q Plaza กับบัตรเครดิต KTC
แลกทุก 1,000 คะแนน KTC FOREVER แทนเงินสด 100 บาท",1 ม.ค. 68 - 31 ธ.ค. 68,https://www.ktc.co.th/promotion/dining/thai/barbqplaza
Bar B Q Plaza,กรุงไทย (KTC),KTC Titanium,"โปรโมชั่นคะแนนแลกคุ้มที่ร้าน Bar B Q Plaza กับบัตรเครดิต KTC
แลกทุก 1,000 คะแนน KTC FOREVER แทนเงินสด 100 บาท",1 ม.ค. 68 - 31 ธ.ค. 68,https://www.ktc.co.th/promotion/dining/thai/barbqplaza
Bar B Q Plaza,กรุงไทย (KTC),KTC WORLD REWARDS,"โปรโมชั่นคะแนนแลกคุ้มที่ร้าน Bar B Q Plaza กับบัตรเครดิต KTC
แลกทุก 1,000 คะแนน KTC FOREVER แทนเงินสด 100 บาท",1 ม.ค. 68 - 31 ธ.ค. 68,https://www.ktc.co.th/promotion/dining/thai/barbqplaza
Bar B Q Plaza,กรุงไทย (KTC),KTC JCB PLATINUM,"โปรโมชั่นคะแนนแลกคุ้มที่ร้าน Bar B Q Plaza กับบัตรเครดิต KTC
แลกทุก 1,000 คะแนน KTC FOREVER แทนเงินสด 100 บาท",1 ม.ค. 68 - 31 ธ.ค. 68,https://www.ktc.co.th/promotion/dining/thai/barbqplaza
Bar B Q Plaza,Bangkok Bank,บัตรพินนาเคิล ธนาคารกรุงเทพ,สิทธิพิเศษบัตรเครดิตธนาคารกรุงเทพ ใช้คะแนนสะสม Thank You Rewards หรือ M Point แลกเท่ายอดใช้จ่ายต่อเซลส์สลิป รับเครดิตเงินคืน สูงสุด 18%,17 เม.ย. 68 - 15 มิ.ย. 68,https://www.bangkokbank.com/th-TH/Personal/Cards/Credit-Cards/Promotions/BAR_BQ_PLAZA_041822
Bar B Q Plaza,Bangkok Bank,บัตรอินฟินิท ธนาคารกรุงเทพ,สิทธิพิเศษบัตรเครดิตธนาคารกรุงเทพ ใช้คะแนนสะสม Thank You Rewards หรือ M Point แลกเท่ายอดใช้จ่ายต่อเซลส์สลิป รับเครดิตเงินคืน สูงสุด 18%,18 เม.ย. 68 - 15 มิ.ย. 68,https://www.bangkokbank.com/th-TH/Personal/Cards/Credit-Cards/Promotions/BAR_BQ_PLAZA_041823
Bar B Q Plaza,Bangkok Bank,บัตรผู้นำแพลทินัม ธนาคารกรุงเทพ,สิทธิพิเศษบัตรเครดิตธนาคารกรุงเทพ ใช้คะแนนสะสม Thank You Rewards หรือ M Point แลกเท่ายอดใช้จ่ายต่อเซลส์สลิป รับเครดิตเงินคืน สูงสุด 18%,19 เม.ย. 68 - 15 มิ.ย. 68,https://www.bangkokbank.com/th-TH/Personal/Cards/Credit-Cards/Promotions/BAR_BQ_PLAZA_041824
Bar B Q Plaza,Bangkok Bank,Bangkok Bank M LUXE Visa Signature,สิทธิพิเศษบัตรเครดิตธนาคารกรุงเทพ ใช้คะแนนสะสม Thank You Rewards หรือ M Point แลกเท่ายอดใช้จ่ายต่อเซลส์สลิป รับเครดิตเงินคืน สูงสุด 18%,20 เม.ย. 68 - 15 มิ.ย. 68,https://www.bangkokbank.com/th-TH/Personal/Cards/Credit-Cards/Promotions/BAR_BQ_PLAZA_041825
Bar B Q Plaza,KBank,บัตรเครดิต KTC ดิจิทัล แพลทินัม,"รับเครดิตเงินคืน 15%* เพียงใช้คะแนนสะสม K Point แลกเท่ายอดใช้จ่าย 
จำกัดการแลกคะแนน K Point สูงสุด 30,000 คะแนน/ท่าน/ตลอดรายการส่งเสริมการขาย",1 พ.ค. 68 - 30 ก.ย. 68,https://www.kasikornbank.com/th/promotion/creditcard/pages/diningpoint.aspx
Bar B Q Plaza,KBank,บัตรเครดิต KBank JCB Platinum,"รับเครดิตเงินคืน 15%* เพียงใช้คะแนนสะสม K Point แลกเท่ายอดใช้จ่าย 
จำกัดการแลกคะแนน K Point สูงสุด 30,000 คะแนน/ท่าน/ตลอดรายการส่งเสริมการขาย",2 พ.ค. 68 - 30 ก.ย. 68,https://www.kasikornbank.com/th/promotion/creditcard/pages/diningpoint.aspx
Bar B Q Plaza,KBank,KBank Titanium Mastercard,"รับเครดิตเงินคืน 15%* เพียงใช้คะแนนสะสม K Point แลกเท่ายอดใช้จ่าย 
จำกัดการแลกคะแนน K Point สูงสุด 30,000 คะแนน/ท่าน/ตลอดรายการส่งเสริมการขาย",3 พ.ค. 68 - 30 ก.ย. 68,https://www.kasikornbank.com/th/promotion/creditcard/pages/diningpoint.aspx
Bar B Q Plaza,KBank,บัตรเดอะพรีเมียร์กสิกรไทย,"รับเครดิตเงินคืน 15%* เพียงใช้คะแนนสะสม K Point แลกเท่ายอดใช้จ่าย 
จำกัดการแลกคะแนน K Point สูงสุด 30,000 คะแนน/ท่าน/ตลอดรายการส่งเสริมการขาย",4 พ.ค. 68 - 30 ก.ย. 68,https://www.kasikornbank.com/th/promotion/creditcard/pages/diningpoint.aspx
Bar B Q Plaza,KBank,KBank The Passion Visa Signature,"รับเครดิตเงินคืน 15%* เพียงใช้คะแนนสะสม K Point แลกเท่ายอดใช้จ่าย 
จำกัดการแลกคะแนน K Point สูงสุด 30,000 คะแนน/ท่าน/ตลอดรายการส่งเสริมการขาย",1 พ.ค. 68 - 30 ก.ย. 68,https://www.kasikornbank.com/th/promotion/creditcard/pages/diningpoint.aspx
Bar B Q Plaza,กรุงศรี,บัตรเครดิต กรุงศรี แพลทินัม,"ต่อ 2: รับเครดิตเงินคืนรวมสูงสุด 20%**
เมื่อทานครบ 1,000 บาทขึ้นไป/เซลล์สลิป
ทุกวัน (ยกเว้นวันที่ 25 ของทุกเดือน) รับเครดิตเงินคืน 3%
 **จำกัดเครดิตเงินคืนสูงสุด 30 บาท/เซลล์สลิป, สูงสุด 30 บาท/เดือน, สูงสุด 120 บาท/ตลอดรายการ/บัญชีบัตร
 
KRUNGSRI PAYDAY ทุกวันที่ 25 ของทุกเดือน รับเครดิตเงินคืน 10% ไม่ต้องแลกคะแนนรับเครดิตเงินคืน 100 บาท
 **จำกัดเครดิตเงินคืนสูงสุด 100 บาท/เซลล์สลิป, สูงสุด 100 บาท/เดือน, สูงสุด 400 บาท/ตลอดรายการ/บัญชีบัตร",1 มี.ค. 68 – 30 มิ.ย. 68,https://www.krungsricard.com/th/Promotion/dining-special-privileges
Bar B Q Plaza,กรุงศรี,บัตรเครดิต กรุงศรี ไพรเวท แบงก์กิ้ง,"ต่อ 2: รับเครดิตเงินคืนรวมสูงสุด 20%**
เมื่อทานครบ 1,000 บาทขึ้นไป/เซลล์สลิป
ทุกวัน (ยกเว้นวันที่ 25 ของทุกเดือน) รับเครดิตเงินคืน 3%
 **จำกัดเครดิตเงินคืนสูงสุด 30 บาท/เซลล์สลิป, สูงสุด 30 บาท/เดือน, สูงสุด 120 บาท/ตลอดรายการ/บัญชีบัตร
 
KRUNGSRI PAYDAY ทุกวันที่ 25 ของทุกเดือน รับเครดิตเงินคืน 10% ไม่ต้องแลกคะแนนรับเครดิตเงินคืน 100 บาท
 **จำกัดเครดิตเงินคืนสูงสุด 100 บาท/เซลล์สลิป, สูงสุด 100 บาท/เดือน, สูงสุด 400 บาท/ตลอดรายการ/บัญชีบัตร",1 มี.ค. 68 – 30 มิ.ย. 68,https://www.krungsricard.com/th/Promotion/dining-special-privileges
